impl,n,q,total_ns,total_s,ns_per_search,cache_refs,cache_misses,misses_per_search,miss_rate,bytes,l1_refs,l1_misses,l1_rate,l2_refs,l2_misses,l2_rate,l3_refs,l3_misses,l3_rate,branches,branch_misses,branch_rate
BST_EYT_PREF_PROB,6500000,10000000,3.2366e+09,3.2366,323.66,2.11498e+08,5.93604e+07,5.93604,0.280666,24738920,3.02314e+08,9.87681e+07,0.326706,0,0,0,6.04186e+07,1.42365e+07,0.235631,5.46435e+08,5.87118e+07,0.107445
BST_VEB,7000000,10000000,2.57294e+09,2.57294,257.294,3.99062e+08,1.93508e+08,19.3508,0.484906,26647136,2.87917e+08,1.37404e+08,0.477234,0,0,0,7.59943e+07,2.54197e+07,0.334494,4.25156e+08,5.98816e+07,0.140846
BST_EYT,7000000,10000000,2.789e+09,2.789,278.9,2.18583e+08,6.29444e+07,6.29444,0.287966,26647136,1.59905e+08,1.02133e+08,0.638708,0,0,0,6.22653e+07,1.49856e+07,0.240674,3.64804e+08,5.48426e+07,0.150335
BST_EYT_PREF,7000000,10000000,2.52003e+09,2.52003,252.003,2.83551e+08,7.78316e+07,7.78316,0.274489,26647136,4.85152e+08,1.25144e+08,0.257949,0,0,0,9.86482e+06,456272,0.0462524,5.90827e+08,6.02907e+07,0.102045
BST_EYT_PREF_TWO,7000000,10000000,3.01062e+09,3.01062,301.062,2.97505e+08,8.23222e+07,8.23222,0.276708,26647136,8.99561e+08,1.07163e+08,0.119128,0,0,0,8.95294e+06,309068,0.0345214,9.30984e+08,6.43291e+07,0.069098
BST_EYT_PREF_THREE,7000000,10000000,2.56917e+09,2.56917,256.917,2.8168e+08,7.78957e+07,7.78957,0.27654,26647136,1.69261e+09,8.7265e+07,0.0515563,0,0,0,8.91957e+06,124704,0.013981,1.84302e+09,2.1603e+06,0.00117215
BST_EYT_PREF_FOUR,7000000,10000000,7.39914e+09,7.39914,739.914,6.44969e+08,9.82721e+07,9.82721,0.152367,26647136,4.81636e+09,7.7004e+07,0.015988,0,0,0,1.04611e+07,32079.2,0.00306653,6.37393e+09,6.33144e+07,0.00993333
BST_EYT_PREF_PROB,7000000,10000000,3.31411e+09,3.31411,331.411,2.162e+08,6.34128e+07,6.34128,0.293306,26647136,3.02798e+08,1.00657e+08,0.332423,0,0,0,6.15562e+07,1.51437e+07,0.246014,5.48052e+08,5.87395e+07,0.107179
BST_VEB,7500000,10000000,2.61835e+09,2.61835,261.835,4.0036e+08,2.01498e+08,20.1498,0.503293,28548772,2.88933e+08,1.38389e+08,0.478965,0,0,0,7.63021e+07,2.68006e+07,0.351244,4.26558e+08,5.98199e+07,0.140239
BST_EYT,7500000,10000000,2.85153e+09,2.85153,285.153,2.28018e+08,6.62049e+07,6.62049,0.290349,28548772,1.60367e+08,1.0343e+08,0.644956,0,0,0,6.53012e+07,1.57584e+07,0.241319,3.66077e+08,5.49531e+07,0.150113
